participantID,videoID,condition,time,bad,C3_mu_suppression,C4_mu_suppression,O1_alpha_suppression,O2_alpha_suppression,Central_suppression,Occipital_suppression,rating,targetRating,ratingChange,ratingChangeCategorical,targetRatingChange,targetRatingChangeCategorical,detectChange
103,53v2,both,102,,1.672898266,1.193491527,0.888119855,0.791402871,1.433194897,0.839761363,54,80.25,4.666666667,Increase,2.666666667,Increase,TRUE
103,53v2,both,105,,0.612385824,0.963499868,0.432864082,-0.320668571,0.787942846,0.056097755,54,80.91666667,0,Maintain,0.666666667,Increase,FALSE
103,53v2,both,108,,-0.109199292,0.28293147,1.058465221,-0.341203174,0.086866089,0.358631023,54,69.21666667,0,Maintain,-11.7,Decrease,FALSE
103,53v2,both,111,,0.050430854,-1.545195644,-0.306374205,-0.156119184,-0.747382395,-0.231246695,54,53.3,0,Maintain,-15.91666667,Decrease,FALSE
103,53v2,both,114,1,1.892800324,1.203498758,2.362555906,1.378149185,1.548149541,1.870352546,54,62.03333333,0,Maintain,8.733333333,Increase,FALSE
103,53v2,both,117,,0.722873361,1.665648009,1.406913648,0.211870813,1.194260685,0.80939223,54,69.45,0,Maintain,7.416666667,Increase,FALSE
103,53v2,both,120,,0.891856707,0.304133677,-0.48117693,-0.280822663,0.597995192,-0.380999796,57.83333333,76.36666667,3.833333333,Increase,6.916666667,Increase,TRUE
103,53v2,both,123,,0.982982106,0.257613662,1.201887298,-0.184093036,0.620297884,0.508897131,59,78.55,1.166666667,Increase,2.183333333,Increase,TRUE
103,53v2,both,126,,1.202247178,0.227871693,1.174372335,0.031933047,0.715059435,0.603152691,59,78.7,0,Maintain,0.15,Increase,FALSE
103,53v2,both,129,,1.027153325,0.785868921,-0.141499562,-0.073427469,0.906511123,-0.107463515,68,78.65,9,Increase,-0.05,Decrease,FALSE
103,53v2,both,132,,0.602996084,0.514609923,1.293584963,0.725080228,0.558803004,1.009332595,71.33333333,80.36666667,3.333333333,Increase,1.716666667,Increase,TRUE
103,53v2,both,135,,1.095734589,0.227871693,0.720546155,0.124642445,0.661803141,0.4225943,73,82.83333333,1.666666667,Increase,2.466666667,Increase,TRUE
103,53v2,both,138,,0.982982106,0.730360777,1.69968479,0.691671166,0.856671442,1.195677978,74.83333333,86.5,1.833333333,Increase,3.666666667,Increase,TRUE
103,53v2,both,141,,0.216223108,0.634593872,0.313390429,-0.414354056,0.42540849,-0.050481813,75,86.96666667,0.166666667,Increase,0.466666667,Increase,TRUE
103,53v2,both,144,,-0.03509132,1.183383138,1.954799096,0.292097091,0.574145909,1.123448094,75,88.85,0,Maintain,1.883333333,Increase,FALSE
103,53v2,both,147,,-0.659245629,-0.431877208,0.183478295,-0.198378994,-0.545561418,-0.007450349,75,94.2,0,Maintain,5.35,Increase,FALSE
